,Year Built,Square Footage,lot sqft,Bedrooms,Bathrooms,Stories,List Price,Sold Price,List Date,Sold Date,Postal Code,City,lon,lat,State,Property Type,Tags,County
2081,2005.0,792.0,784.0,1.0,1.0,1.0,320000.0,317300.0,2023-03-02T19:12:29Z,2023-06-15,30308,Atlanta,-84.385477,33.77844,GA,condos,"central_air, city_view, community_clubhouse, community_gym, community_security_features, dishwasher, hardwood_floors, laundry_room, recreation_facilities, view, washer_dryer, community_swimming_pool, single_story",
2082,2005.0,3028.0,8886.0,4.0,3.0,2.0,410000.0,410000.0,2023-02-01T08:22:07Z,2023-06-15,30331,Atlanta,-84.562682,33.715384,GA,single_family,"central_air, central_heat, community_clubhouse, community_outdoor_space, community_security_features, community_tennis_court, den_or_office, dishwasher, family_room, fireplace, forced_air, laundry_room, recreation_facilities, washer_dryer, community_swimming_pool, two_or_more_stories, garage_1_or_more, garage_2_or_more, modern_kitchen, large_kitchen, wrap_around_porch, ensuite, shopping",
2083,1963.0,1850.0,7884.0,3.0,2.0,2.0,389000.0,360000.0,2023-04-29T01:05:50Z,2023-06-15,30310,Atlanta,-84.432885,33.728453,GA,single_family,"central_air, central_heat, community_outdoor_space, dishwasher, laundry_room, recreation_facilities, basement, two_or_more_stories, garage_1_or_more, modern_kitchen, open_kitchen, big_lot, ensuite, playground, trails",
2084,2006.0,3529.0,17990.0,5.0,4.0,2.0,485000.0,475000.0,2023-01-26T00:08:47Z,2023-06-15,30349,South Fulton,-84.582454,33.666617,GA,single_family,"central_air, central_heat, den_or_office, dishwasher, family_room, fireplace, hardwood_floors, laundry_room, recreation_facilities, tennis_court, community_swimming_pool, two_or_more_stories, garage_1_or_more, clubhouse, fixer_upper",
2085,1974.0,1190.0,1189.0,1.0,1.0,1.0,299000.0,285000.0,2023-05-18T15:01:10Z,2023-06-15,30308,Atlanta,-84.383571,33.76478,GA,condos,"central_air, central_heat, city_view, community_clubhouse, community_gym, community_security_features, dishwasher, laundry_room, recreation_facilities, view, single_story, garage_1_or_more, guest_parking, shopping",
2086,2021.0,2724.0,2004.0,3.0,4.0,3.0,719000.0,719000.0,2023-05-16T20:47:15Z,2023-06-15,30324,Atlanta,-84.364643,33.822004,GA,single_family,"central_air, city_view, community_outdoor_space, community_security_features, dishwasher, energy_efficient, family_room, forced_air, game_room, hardwood_floors, laundry_room, recreation_facilities, view, two_or_more_stories, garage_1_or_more, garage_2_or_more, private_backyard, high_ceiling, floor_plan, media_room, elevator, trails, views, shopping",
2087,2005.0,3159.0,42689.0,4.0,4.0,2.0,679000.0,725000.0,2023-05-18T23:33:07Z,2023-06-15,30316,Atlanta,-84.336966,33.725477,GA,single_family,"central_air, central_heat, community_security_features, corner_lot, dishwasher, energy_efficient, family_room, hardwood_floors, laundry_room, recreation_facilities, river_view, view, water_view, basement, two_or_more_stories, garage_1_or_more, garage_2_or_more, garage_3_or_more, waterfront",
2088,2009.0,3520.0,1742.0,3.0,4.0,3.0,599000.0,595000.0,2023-03-23T19:59:36Z,2023-06-15,30339,Atlanta,-84.46351,33.911356,GA,townhomes,"central_air, community_outdoor_space, community_security_features, corner_lot, den_or_office, dishwasher, energy_efficient, family_room, fireplace, hardwood_floors, laundry_room, recreation_facilities, washer_dryer, basement, two_or_more_stories, garage_1_or_more, garage_2_or_more, modern_kitchen, open_kitchen, high_ceiling, gated_community, trails, views, security, shopping",
2089,2005.0,2388.0,963.0,3.0,4.0,3.0,689000.0,681500.0,2023-05-24T14:14:17Z,2023-06-15,30307,Atlanta,-84.346077,33.761161,GA,townhomes,"central_air, central_heat, city_view, community_outdoor_space, dishwasher, family_room, fireplace, hardwood_floors, laundry_room, recreation_facilities, view, two_or_more_stories, garage_1_or_more, garage_2_or_more, modern_kitchen, kitchen_island, large_kitchen, high_ceiling, ensuite",
2090,1940.0,2120.0,9500.0,3.0,3.0,2.0,550000.0,540000.0,2023-05-11T01:13:23Z,2023-06-15,30310,Atlanta,-84.432164,33.734771,GA,single_family,"central_air, central_heat, community_outdoor_space, community_security_features, den_or_office, dishwasher, energy_efficient, fireplace, hardwood_floors, laundry_room, recreation_facilities, basement, two_or_more_stories, modern_kitchen, kitchen_island, large_kitchen",
